# alphabio_phy abioa_phy bbioa_phy abioa_dia bbioh phykf phymaxqc phylmor diamaxqs diaVmaxs dialmor overflow zooCingest zooCassim zooeps zprefdia zoolmor mesCassim meseps mprefphy meslmor mesqmor mespreyswitch detqrem ldetphi phyrad0 diarad0 zoorad0 phybiot diabiot dfefloor kscav_dfe kcoag_dfe bsi_alpha aoalmor pbac_alpha lbac_alpha lbac_beta baclmor bacqmor
3.0173965536 0.0000169766 1.0722748194 0.0000096371 1.0635246474 0.3133244387 0.0262702151 -2.0716342719 0.7958694635 0.0000015971 -1.2005164643 0.5742769702 0.8067175228 0.4931730929 0.0000042142 0.3195061410 -2.4658422857 0.5301600471 0.0000019943 0.8564811752 -3.6560066359 0.0000013270 2.2388292492 0.0000028093 0.8358727501 11.8346028818 114.7895636124 30.3540820751 1.7420255876 0.7221328583 0.0419214791 -3.6420841653 -8.2475492090 -8.5298394370 -1.5412530707 0.5089713488 0.1331949125 0.2907393319 -2.9508642897 0.0000002723
3.3292680977 0.0000145493 1.0630477121 0.0000112516 1.0708063475 0.8356449496 0.0187682498 -2.2194115749 0.6989712210 0.0000028189 -1.0824533925 0.6972272590 0.6707549562 0.5101187084 0.0000037957 0.3983422440 -2.5684673313 0.4635648071 0.0000021292 0.7708949904 -3.8026233378 0.0000010417 2.0534202061 0.0000036111 0.7825140603 10.5148186223 90.0517813663 39.8449556756 1.8018463008 1.1642466371 0.0282962572 -3.1961932987 -7.9041246655 -8.9605031156 -1.8686256984 0.5420956995 0.0932564741 0.7345976639 -2.2590452300 0.0000006063
2.7185490546 0.0000163228 1.0728849685 0.0000080864 1.0674409474 0.3470579755 0.0188481554 -2.2290703266 0.6338665509 0.0000027221 -1.2061793886 0.4851786515 0.8011530461 0.4820564260 0.0000033950 0.6912173797 -2.9219722119 0.5625092964 0.0000020438 0.7914162975 -3.7988049190 0.0000007519 1.9923416408 0.0000020866 0.8382101368 9.5789229265 64.4526098671 34.6219680202 1.8168919005 0.8198607956 0.0271206142 -3.4196992443 -7.3747396501 -9.0287660417 -1.3572155840 0.3834426450 0.1937275752 0.2780990054 -2.3079078602 0.0000002466
2.9550434455 0.0000164772 1.0573961230 0.0000101554 1.0739822553 0.5923687830 0.0277332286 -1.9063409817 0.6366926122 0.0000044900 -1.1569335515 0.4624470368 0.7919637622 0.4737798084 0.0000043614 0.5478785431 -2.5882641650 0.5669965083 0.0000020310 0.9464414207 -3.8561080645 0.0000010042 2.1084681837 0.0000018059 0.8997644597 11.6960672951 95.7974237889 38.6618105699 1.3287472052 1.0411549553 0.0430245975 -3.2416068826 -7.2749956867 -9.3928304443 -1.5109342387 0.5476885178 0.1615847143 0.4485988332 -2.9624898089 0.0000006184
3.5139466168 0.0000150557 1.0722682575 0.0000112997 1.0676981626 0.3672772965 0.0139899114 -2.0523091994 0.7104329097 0.0000027556 -1.1386939573 0.6856675732 0.8122394948 0.4658843347 0.0000042092 0.4533099527 -2.6917599455 0.5577279079 0.0000017772 0.8768804365 -3.6876008202 0.0000007987 1.7915911069 0.0000019471 0.9208162604 5.4270036492 99.7008365927 29.4204588687 1.5660749542 1.2628007815 0.0289726891 -3.2662397818 -7.8473902992 -8.8872449214 -1.4408781269 0.7208399613 0.4820353978 0.6400801091 -2.3592960798 0.0000002632
3.5610232769 0.0000152043 1.0741244119 0.0000121793 1.0709415708 0.4625979188 0.0157835420 -1.7970823563 0.7297975933 0.0000026854 -1.4085431926 0.6030895410 0.8260897777 0.4307959475 0.0000033989 0.6443052257 -2.7212362574 0.5336844065 0.0000017014 0.8374844452 -3.8472515942 0.0000015384 2.1775115902 0.0000019635 0.8703114261 4.6792512781 136.6827109959 24.7163143009 1.6415415599 1.1509785745 0.0336589098 -2.3736039281 -7.3515250512 -8.9166189507 -1.5707468478 0.1174844701 0.1897891219 0.5655061536 -2.5476535032 0.0000008199
3.7528204602 0.0000160278 1.0718992777 0.0000114219 1.0704404516 0.5768614208 0.0203646892 -1.9878139042 0.8309224087 0.0000048331 -1.1615214372 0.6860574854 0.8054813888 0.5025714975 0.0000037762 0.2511826764 -3.0185698194 0.5331781262 0.0000021755 0.8760241554 -3.8895479525 0.0000006725 2.6180148349 0.0000023506 0.8138846003 14.2780393361 147.3516217272 26.4413196917 1.4682361684 0.8667630298 0.0353372307 -3.1900928084 -7.3089543918 -9.5729714980 -1.5117348656 0.3706636433 0.1698674652 0.4692731283 -2.4424426006 0.0000005272
3.1844632585 0.0000170410 1.0709203856 0.0000076484 1.0691210471 0.4291552610 0.0155747091 -2.2701797706 0.7703533581 0.0000026369 -1.2180810393 0.5025071658 0.7853234822 0.5463324095 0.0000037923 0.3911849920 -2.6694739877 0.5762263414 0.0000020117 0.8191670218 -3.8065957960 0.0000011592 2.5530287558 0.0000020758 0.8843464869 5.9939108830 112.4419495435 30.6139305768 1.6412213145 0.8967282918 0.0273920046 -2.6173090632 -7.9187574951 -8.5946108567 -1.6738513020 0.3591799766 0.1629734083 0.5006297643 -2.3212283788 0.0000002234
3.2332341312 0.0000164041 1.0727348454 0.0000094997 1.0715762517 0.7703542964 0.0218300521 -2.1753191522 0.7815739537 0.0000019622 -1.1912811316 0.7768245236 0.7403384591 0.5178949122 0.0000043923 0.3776404892 -3.0355475573 0.4949280499 0.0000019222 0.8358482713 -3.8367776700 0.0000012020 2.2328496566 0.0000019601 0.8930156530 11.1807950013 112.3813308277 26.1328543891 1.3471140914 1.1365750264 0.0222401431 -3.5196246973 -6.4109912079 -9.0327849003 -1.2245766927 0.2991069687 0.2072715964 0.2632263210 -2.5086819801 0.0000005322
3.3319379264 0.0000169895 1.0565149070 0.0000077741 1.0720753492 0.3763521779 0.0157719572 -2.1495890144 0.8953995759 0.0000020561 -1.3353314767 0.7075602914 0.8020236415 0.5055129890 0.0000041168 0.8332494160 -2.9547186112 0.4607543490 0.0000020073 0.7781517727 -3.9437321285 0.0000006909 2.3831474902 0.0000028847 0.8212707613 11.8819252349 130.5828687696 32.3137937104 1.4008446546 1.0580211278 0.0456708710 -3.3704703796 -7.0849326279 -8.7540426459 -1.6102784271 0.3305480169 0.2728636274 0.1511114332 -2.8614596598 0.0000004738
3.0097983451 0.0000167810 1.0621582638 0.0000082606 1.0705547356 0.5210881821 0.0145400309 -1.7400341710 0.7109536924 0.0000016911 -1.0891261486 0.7449262012 0.8628068032 0.4939764757 0.0000040504 0.5973935287 -2.9920796624 0.5336242160 0.0000016476 0.8270171317 -3.8798400367 0.0000007492 2.3774918748 0.0000015365 0.9057167420 8.3328129332 125.4859964421 17.2147595180 1.7714327945 0.6367161316 0.0420257106 -3.6821273115 -7.3841553229 -9.3362725240 -1.7267218049 0.5540115819 0.3374009308 0.3862570553 -3.1061475709 0.0000003315
2.9133506672 0.0000161373 1.0599865001 0.0000106553 1.0724392488 0.3342025104 0.0156963386 -2.1432520102 0.7084801695 0.0000010300 -1.0518529015 0.5254212068 0.7855232423 0.4985831015 0.0000040610 0.5547709411 -2.2886367711 0.5065341395 0.0000021039 0.8917426223 -3.8999791765 0.0000008801 2.5509077606 0.0000021071 0.7442270235 14.9120482533 94.9415979421 35.0038744549 1.5363254375 1.3592841374 0.0427581759 -3.2833143140 -7.2200859741 -9.4812040902 -1.8109129388 0.2812793558 0.2049283929 0.2351416679 -2.5547572220 0.0000002961
3.3377016155 0.0000167478 1.0680800890 0.0000108324 1.0765430806 0.3700809322 0.0181681529 -2.0266338539 0.8562724851 0.0000025868 -1.4079048437 0.5970963160 0.7968542170 0.4600798133 0.0000034910 0.1485404177 -2.8382776771 0.5056657045 0.0000017979 0.6450214484 -3.7216335079 0.0000013203 2.1078762762 0.0000030119 0.7018353975 8.2394965497 86.4484866545 21.0027926387 1.7912313792 1.0323818813 0.0318432794 -2.9145898932 -7.4987111176 -8.8839372400 -1.5025643957 0.6107425280 0.2793776624 0.3601758829 -2.2570921524 0.0000005504
3.0627243219 0.0000144765 1.0715487745 0.0000111409 1.0693257672 0.3881908034 0.0153719946 -1.7914331633 0.6566750234 0.0000036846 -1.1364911807 0.6120897638 0.7615609115 0.5380051505 0.0000036595 0.3494277741 -2.7818336838 0.4313301943 0.0000020971 0.9167380328 -3.8834523426 0.0000009890 2.1667354715 0.0000017680 0.7642396257 14.7397274515 114.4933741205 39.4732306309 1.3106415342 1.0051016939 0.0302593039 -2.5701106620 -6.5929153079 -8.7517941669 -1.2037362114 0.7098611796 0.2360048235 0.3078454481 -2.5111016018 0.0000005672
3.5035770090 0.0000150707 1.0699722794 0.0000117026 1.0701175277 0.2273175800 0.0149438435 -1.7375146019 0.7913597240 0.0000035404 -1.0938023345 0.6580733442 0.8120186301 0.4580057423 0.0000029147 0.5629084248 -2.8076417681 0.5370888118 0.0000019820 0.7754631046 -3.7343020905 0.0000010864 2.1717164667 0.0000018572 0.7754350202 13.2428668693 122.0672135187 19.5396054882 1.7193765376 0.7684354142 0.0347784334 -3.0800981277 -7.1216744703 -9.2278404487 -1.3259041800 0.7467292322 0.3675595397 0.6282378592 -2.6341928975 0.0000003266
